Time, xr, yr, zr, q0r, q1r, q2r, q3r, xn, yn, zn, q0n, q1n, q2n, q3n
4.564, 0.655838, -0.0944033, 0.579472, 0.000580437, -0.00437311, 0.99999, 3.23087e-05, 0.655865, -0.0939562, 0.579465, -1.96045e-06, -3.72529e-08, 1, -4.71319e-06, 
4.664, 0.658176, -0.0910484, 0.579588, 0.00057958, -0.00421948, 0.999991, 3.7946e-05, 0.658465, -0.0905358, 0.579465, -2.80606e-06, -9.12506e-09, 1, -3.93757e-06, 
4.764, 0.661031, -0.0879867, 0.579385, 4.77282e-05, -0.00405911, 0.999992, -0.000112163, 0.661397, -0.0874709, 0.579465, -3.84643e-06, 2.04043e-08, 1, -3.36291e-06, 
4.864, 0.664187, -0.0852968, 0.579562, 6.28779e-05, -0.00390685, 0.999992, -0.000106106, 0.664655, -0.0847704, 0.579465, -5.03209e-06, 4.7707e-08, 1, -2.95282e-06, 
4.964, 0.667646, -0.0830205, 0.579823, 0.000195256, -0.00373502, 0.999993, -7.01263e-05, 0.66823, -0.0824428, 0.579465, -6.32135e-06, 7.67084e-08, 1, -2.6763e-06, 
5.064, 0.671369, -0.0811383, 0.579388, -0.000606569, -0.00348466, 0.999994, -0.00031054, 0.672112, -0.0804953, 0.579465, -7.67916e-06, 1.04839e-07, 1, -2.50676e-06, 
5.164, 0.675362, -0.0795634, 0.579832, -0.00014091, -0.00338458, 0.999994, -0.000171926, 0.676288, -0.0789339, 0.579465, -9.07619e-06, 1.32863e-07, 1, -2.42126e-06, 
5.264, 0.679805, -0.0782018, 0.579429, -0.000825975, -0.00329344, 0.999994, -0.000376215, 0.680744, -0.0777634, 0.579465, -1.0488e-05, 1.60317e-07, 1, -2.40003e-06, 
5.364, 0.68451, -0.0768282, 0.579496, -0.000807351, -0.0031955, 0.999995, -0.000367438, 0.685465, -0.0769875, 0.579465, -1.18942e-05, 1.87008e-07, 1, -2.42605e-06, 
5.464, 0.689558, -0.0765031, 0.579782, -0.000445717, -0.0019245, 0.999998, -0.000261172, 0.690433, -0.0766083, 0.579464, -1.32783e-05, 2.12635e-07, 1, -2.48474e-06, 
5.564, 0.694823, -0.076482, 0.579338, -0.000981294, -0.000998705, 0.999999, -0.000416887, 0.69563, -0.0766265, 0.579464, -1.46264e-05, 2.37369e-07, 1, -2.56361e-06, 
5.664, 0.700303, -0.0768857, 0.579931, -1.9319e-05, -0.000170014, 1, -0.000132802, 0.701037, -0.0770416, 0.579464, -1.59274e-05, 2.60824e-07, 1, -2.65209e-06, 
5.764, 0.706205, -0.077546, 0.57914, -0.000753714, 0.000481319, 1, -0.000337764, 0.706632, -0.0778513, 0.579464, -1.71723e-05, 2.82828e-07, 1, -2.74138e-06, 
5.864, 0.712199, -0.0787157, 0.579965, 0.000626681, 0.00119143, 0.999999, 5.5902e-05, 0.712395, -0.0790522, 0.579464, -1.83538e-05, 3.0356e-07, 1, -2.82422e-06, 
5.964, 0.718433, -0.080185, 0.579265, 2.3898e-05, 0.00170011, 0.999999, -0.000112532, 0.718304, -0.0806391, 0.579464, -1.94663e-05, 3.23007e-07, 1, -2.89482e-06, 
6.064, 0.724482, -0.0821768, 0.579728, 0.000767129, 0.00225592, 0.999997, 8.1608e-05, 0.724335, -0.0826055, 0.579464, -2.0505e-05, 3.40655e-07, 1, -2.94864e-06, 
6.164, 0.730894, -0.0844213, 0.579283, 0.000379797, 0.00260339, 0.999997, -1.93393e-05, 0.730466, -0.0849434, 0.579464, -2.14665e-05, 3.56968e-07, 1, -2.98227e-06, 
6.264, 0.73711, -0.0871441, 0.579806, 0.00109558, 0.00299614, 0.999995, 0.000146351, 0.736672, -0.0876435, 0.579464, -2.23479e-05, 3.71559e-07, 1, -2.99335e-06, 
6.364, 0.743457, -0.0901619, 0.579281, 0.000545367, 0.00325701, 0.999995, 1.48184e-05, 0.742929, -0.0906949, 0.579464, -2.31471e-05, 3.84806e-07, 1, -2.98047e-06, 
6.464, 0.749808, -0.0935825, 0.579643, 0.00101315, 0.00348654, 0.999993, 0.00010245, 0.749213, -0.0940855, 0.579464, -2.38625e-05, 3.96459e-07, 1, -2.94299e-06, 
6.564, 0.75613, -0.0972659, 0.579509, 0.000914062, 0.00363697, 0.999993, 7.87222e-05, 0.755498, -0.0978017, 0.579464, -2.44929e-05, 4.06449e-07, 1, -2.88097e-06, 
6.664, 0.762483, -0.101292, 0.579519, 0.000946587, 0.0037952, 0.999992, 7.21481e-05, 0.761761, -0.101829, 0.579464, -2.50373e-05, 4.14931e-07, 1, -2.79507e-06, 
