Time, q_r1, q_r2, q_r3, q_r4, q_r5, q_r6, q_r7, q_r8, q_r9, dq_r1, dq_r2, dq_r3, dq_r4, dq_r5, dq_r6, dq_r7, dq_r8, dq_r9, q_n1, q_n2, q_n3, q_n4, q_n5, q_n6, q_n7, q_n8, q_n9, dq_n1, dq_n2, dq_n3, dq_n4, dq_n5, dq_n6, dq_n7, dq_n8, dq_n9
2.33, 1.98968e-06, 4.86365e-06, 6.75507e-06, 0.229539, 0.149669, -1.60655, 0.0185454, -1.60027, 0.261088, 0.000110538, 0.000110538, 0.000153524, -0.88505, -0.575243, 0.13866, -0.0550562, 0.096823, -0.952093, -2.10075e-06, -2.65251e-06, -6.66976e-06, 0.224764, 0.147281, -1.60517, 0.016225, -1.59748, 0.244378, -2.17369e-06, 1.3484e-06, 3.40704e-06, -0.869571, -0.569757, 0.13346, -0.0626387, 0.10056, -0.924448, 
2.43, 1.98968e-06, 4.86365e-06, 6.75507e-06, 0.150401, 0.0981827, -1.59433, 0.012831, -1.59105, 0.176231, 0, 0, -0, -0.697264, -0.450845, 0.114098, -0.054107, 0.0806859, -0.749904, -2.26952e-06, -2.47148e-06, -6.21296e-06, 0.147012, 0.0963394, -1.59325, 0.0106395, -1.58846, 0.16143, -1.25068e-06, 2.17429e-06, 5.48238e-06, -0.685588, -0.449179, 0.104992, -0.0491054, 0.079779, -0.734592, 
2.53, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.0895953, 0.0584458, -1.58508, 0.00841886, -1.58369, 0.110009, 0, 0, -0, -0.52374, -0.338332, 0.0776499, -0.0389191, 0.0569547, -0.577141, -2.33836e-06, -2.22876e-06, -5.60131e-06, 0.0874924, 0.0573423, -1.58415, 0.00638699, -1.58151, 0.0973289, -1.90115e-07, 2.59695e-06, 6.54147e-06, -0.506266, -0.331722, 0.0773061, -0.0360776, 0.0594819, -0.548714, 
2.63, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.0460337, 0.0301995, -1.57857, 0.0052161, -1.57837, 0.0616753, 0, 0, -0, -0.354178, -0.231365, 0.0546718, -0.0208834, 0.0455638, -0.400582, -2.30273e-06, -1.96269e-06, -4.93139e-06, 0.0453248, 0.0297101, -1.57772, 0.00338709, -1.57652, 0.0512925, 8.29664e-07, 2.66752e-06, 6.71403e-06, -0.340006, -0.222833, 0.051698, -0.0241547, 0.0405612, -0.374737, 
2.73, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.0178943, 0.0118987, -1.57423, 0.00313915, -1.57501, 0.0295026, 0, 0, -0, -0.209972, -0.133114, 0.0324862, -0.0132894, 0.0246804, -0.238261, -2.17432e-06, -1.70272e-06, -4.27729e-06, 0.0187493, 0.0122907, -1.57369, 0.0014986, -1.57331, 0.0216725, 1.66424e-06, 2.50113e-06, 6.29072e-06, -0.19603, -0.128514, 0.0295804, -0.0139551, 0.0240357, -0.222078, 
2.83, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.00324862, 0.00247133, -1.57192, 0.00205417, -1.57308, 0.0114925, 0, 0, -0, -0.0966661, -0.0625953, 0.0158469, -0.00664472, 0.0132894, -0.129097, -1.97682e-06, -1.46634e-06, -3.68296e-06, 0.00504276, 0.00330362, -1.57164, 0.000516769, -1.57159, 0.00580522, 2.21475e-06, 2.21526e-06, 5.56793e-06, -0.0843636, -0.0553256, 0.0124841, -0.00613552, 0.0110557, -0.101612, 
2.93, -5.52688e-07, 2.32129e-06, 3.22401e-06, -0.00241031, -0.00110611, -1.57099, 0.00157385, -1.5722, 0.00322554, 0, 0, -0, -0.0277321, -0.0166393, 0.00237704, -0.00284774, 0.00664472, -0.046513, -1.74172e-06, -1.26064e-06, -3.16611e-06, 0.000439158, 0.000284356, -1.57098, 0.000168403, -1.57094, -0.000128859, 2.42026e-06, 1.90007e-06, 4.77307e-06, -0.0158459, -0.0103913, 0.00206274, -0.00141088, 0.00290214, -0.0255507, 
3.03, -5.52688e-07, 2.32129e-06, 3.22401e-06, -0.00294911, -0.00149595, -1.57096, 0.00135932, -1.57188, 0.000975824, 0, 0, -0, 0.0182239, 0.00713111, -0.00554642, -0, 0.00474623, 0.0123402, -1.46254e-06, -1.05736e-06, -2.65537e-06, 0.00143175, 0.000617889, -1.57152, 0.000108318, -1.57081, 0.000206556, 5.4908e-06, 3.70942e-06, 9.32938e-06, 0.0545085, 0.0230225, -0.0230249, -0.000286944, 0.000462933, 0.0530387, 
3.13, -5.52688e-07, 2.32129e-06, 3.22401e-06, -0.000103005, -0.000233742, -1.57179, 0.00116188, -1.5717, 0.00297304, 0, 0, -0, 0.0388249, 0.0182239, -0.00950815, -0.00379698, -0, 0.0189849, -6.25683e-07, -5.0622e-07, -1.26615e-06, 0.0063719, 0.00268876, -1.57359, 8.59399e-05, -1.57079, 0.0052674, 9.18307e-06, 6.0062e-06, 1.5158e-05, 0.0446496, 0.0186009, -0.0185299, -0.00018642, 0.000158255, 0.0467982, 
3.23, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.00372323, 0.0014492, -1.57294, 0.00103658, -1.57153, 0.00462093, 0, 0, -0, 0.0388249, 0.0134699, -0.0142622, -0, -0, 0.0123402, 1.13603e-07, -1.93805e-08, -3.76882e-08, 0.0104223, 0.00436855, -1.57526, 6.93256e-05, -1.57077, 0.00952594, 5.03218e-06, 3.37241e-06, 8.4971e-06, 0.0366261, 0.0151202, -0.0150283, -0.000148488, 8.14098e-05, 0.0385513, 
3.33, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.00725868, 0.00277321, -1.57419, 0.000991012, -1.57142, 0.00593278, 0, 0, -0, 0.0309015, 0.0110928, -0.0103005, -0, -0, 0.0113909, 3.71422e-07, 1.62742e-07, 4.1858e-07, 0.013745, 0.00573495, -1.57662, 5.59473e-05, -1.57077, 0.0130224, 4.41634e-07, 4.65604e-07, 1.12439e-06, 0.0300421, 0.0123066, -0.0122099, -0.00012013, 3.98697e-05, 0.0316002, 
3.43, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.0103354, 0.00394984, -1.57525, 0.000967281, -1.57132, 0.0069874, 0, 0, -0, 0.0261474, 0.0118852, -0.00950815, -0, -0, 0.00854321, 2.90616e-07, 1.29053e-07, 3.27994e-07, 0.0164697, 0.00684762, -1.57772, 4.51223e-05, -1.57077, 0.0158871, -1.59806e-06, -8.55029e-07, -2.21142e-06, 0.0246288, 0.0100264, -0.00993289, -9.71734e-05, 1.4597e-05, 0.0258824, 
3.53, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.0127679, 0.00501079, -1.57618, 0.000941652, -1.57121, 0.00786545, 0, 0, -0, 0.022978, 0.0103005, -0.00792345, -0, 0.00379698, 0.00854321, 1.24394e-07, 3.72088e-08, 9.21134e-08, 0.0187028, 0.00775452, -1.57862, 3.63704e-05, -1.57077, 0.018233, -1.48348e-06, -8.30225e-07, -2.1209e-06, 0.0201788, 0.00817576, -0.00808964, -7.85203e-05, -5.43258e-07, 0.0211892, 
3.63, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.0147757, 0.00583404, -1.57691, 0.000915073, -1.57112, 0.00860206, 0, 0, -0, 0.0174316, 0.00713111, -0.00713111, -0, -0, 0.00664472, 1.77751e-08, -2.15217e-08, -5.7141e-08, 0.020532, 0.00849429, -1.57935, 2.93018e-05, -1.57077, 0.0201531, -6.28054e-07, -3.29564e-07, -8.28848e-07, 0.0165259, 0.00667134, -0.00659437, -6.33889e-05, -9.18634e-06, 0.0173413, 
3.73, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.0164269, 0.00652021, -1.57761, 0.000892291, -1.57104, 0.00918965, 0, 0, -0, 0.0142622, 0.00713111, -0.00633876, -0, -0, 0.00379698, -9.48639e-09, -3.3199e-08, -8.55896e-08, 0.0220299, 0.00909808, -1.57995, 2.35975e-05, -1.57077, 0.0217244, 9.87405e-09, 5.20671e-08, 1.45843e-07, 0.0135316, 0.00544642, -0.00537905, -5.11346e-05, -1.36893e-05, 0.0141898, 
3.83, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.0178183, 0.00709862, -1.57823, 0.000872357, -1.57097, 0.00971268, 0, 0, -0, 0.0103005, 0.00633876, -0.00475407, -0, -0, 0.00474623, 4.35156e-09, -2.02841e-08, -5.16279e-08, 0.0232564, 0.00959111, -1.58043, 1.89973e-05, -1.57077, 0.0230101, 2.02381e-07, 1.66318e-07, 4.3103e-07, 0.0110794, 0.00444796, -0.00438984, -4.12238e-05, -1.55968e-05, 0.0116104, 
3.93, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.0189426, 0.00757324, -1.57876, 0.000858118, -1.57091, 0.0102338, 0, 0, -0, 0.00950815, 0.00475407, -0.00475407, -0, -0, 0.00379698, 2.18801e-08, -5.4651e-09, -1.34858e-08, 0.0242606, 0.0099938, -1.58083, 1.52897e-05, -1.57077, 0.0240621, 1.2481e-07, 1.14886e-07, 2.93528e-07, 0.00907151, 0.00363354, -0.00358394, -3.32171e-05, -1.59204e-05, 0.00949949, 
4.03, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.019933, 0.00804389, -1.57924, 0.000838184, -1.57086, 0.0107046, 0, 0, -0, 0.0110928, 0.00396173, -0.00475407, -0, -0, 0.00474623, 2.77713e-08, 1.73782e-09, 4.76146e-09, 0.0250828, 0.0103228, -1.58116, 1.23029e-05, -1.57077, 0.0249228, -1.33467e-09, 3.19141e-08, 7.9039e-08, 0.00742713, 0.00296899, -0.00292699, -2.67543e-05, -1.5318e-05, 0.00777201, 
4.13, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.020849, 0.00838064, -1.57965, 0.000820148, -1.57083, 0.0111584, 0, 0, -0, 0.0087158, 0.00316938, -0.00396173, -0, -0, 0.00664472, 2.36928e-08, 2.20867e-09, 5.71813e-09, 0.0257559, 0.0105917, -1.58142, 9.89756e-06, -1.57077, 0.0256269, -6.70435e-08, -1.47883e-08, -3.98887e-08, 0.0060803, 0.00242654, -0.00239121, -2.15416e-05, -1.42125e-05, 0.00635823, 
4.23, -5.52688e-07, 2.32129e-06, 3.22401e-06, 0.0216057, 0.00864924, -1.57995, 0.000798315, -1.5708, 0.0116548, 0, 0, -0, 0.00633876, -0, -0.00237704, -0, -0, 0.00474623, 1.65029e-08, 1.49911e-10, 3.14375e-10, 0.026307, 0.0108114, -1.58164, 7.96115e-06, -1.57077, 0.026203, -6.83749e-08, -2.13644e-08, -5.53406e-08, 0.00497721, 0.00198361, -0.00195402, -1.73396e-05, -1.28708e-05, 0.00520125, 
4.33, 3.86881e-06, -2.10021e-06, -2.91696e-06, 0.0221611, 0.00888853, -1.58017, 0.000782178, -1.57078, 0.012138, 0, 0, -0, 0.00475407, 0.00237704, -0.00316938, -0, -0, 0.00569547, 1.08823e-08, -1.45942e-09, -3.8189e-09, 0.026758, 0.0109911, -1.58181, 6.40266e-06, -1.57078, 0.0266742, -4.22285e-08, -9.72941e-09, -2.46516e-08, 0.00407392, 0.00162181, -0.00159712, -1.39539e-05, -1.1458e-05, 0.00425456, 
4.43, 3.86881e-06, -2.10021e-06, -2.91696e-06, 0.0226413, 0.00911673, -1.58032, 0.000760346, -1.57076, 0.0126354, 0, 0, -0, 0.00316938, -0, 0, -0, -0, 0.00474623, 7.90905e-09, -1.82085e-09, -4.70358e-09, 0.0271272, 0.011138, -1.58196, 5.14859e-06, -1.57078, 0.0270596, -1.88181e-08, 1.50281e-09, 4.30509e-09, 0.00333442, 0.00132617, -0.00130563, -1.12271e-05, -1.00727e-05, 0.00348007, 
4.53, 3.86881e-06, -2.10021e-06, -2.91696e-06, 0.0230002, 0.00931877, -1.58046, 0.000741361, -1.57074, 0.0131195, 0, 0, -0, -0, 0.00237704, -0.00237704, -0.00284774, -0, 0.00474623, 6.65404e-09, -1.39694e-09, -3.58024e-09, 0.0274294, 0.0112581, -1.58208, 4.13968e-06, -1.57078, 0.0273749, -8.11442e-09, 5.78452e-09, 1.50822e-08, 0.00272908, 0.00108453, -0.00106749, -9.03155e-06, -8.77078e-06, 0.00284652, 
