Time, q_r1, q_r2, q_r3, q_r4, q_r5, q_r6, q_r7, q_r8, q_r9, dq_r1, dq_r2, dq_r3, dq_r4, dq_r5, dq_r6, dq_r7, dq_r8, dq_r9, q_n1, q_n2, q_n3, q_n4, q_n5, q_n6, q_n7, q_n8, q_n9, dq_n1, dq_n2, dq_n3, dq_n4, dq_n5, dq_n6, dq_n7, dq_n8, dq_n9
250.33, -0.0144604, -0.00726132, -0.796402, 1.31836, -0.150252, -1.40659, 2.18326e-05, -1.58577, 0.521206, -0.00121591, 0.000331613, 0.207104, -0.24325, 0.125983, -0.148961, -0.00284774, 0.0237311, -0.0332236, -0.0144003, -0.00726241, -0.796056, 1.31574, -0.149214, -1.4074, -3.17252e-06, -1.58494, 0.519678, 6.46804e-05, 4.74975e-05, 0.206778, -0.244343, 0.119577, -0.142435, -4.12771e-07, 0.0228533, -0.0375652, 
250.43, -0.0143588, -0.00725192, -0.775426, 1.29347, -0.137965, -1.42056, 9.49246e-07, -1.58346, 0.517751, 0.00165806, 0.000773763, 0.209254, -0.247212, 0.121229, -0.131529, 0.00379698, 0.0208834, -0.0379698, -0.0143936, -0.0072576, -0.775379, 1.2911, -0.137399, -1.42138, -3.20352e-06, -1.58277, 0.51572, 6.95938e-05, 4.85243e-05, 0.206776, -0.248399, 0.116719, -0.137275, -2.90233e-07, 0.0205506, -0.0416223, 
250.53, -0.0144335, -0.00723291, -0.754876, 1.26863, -0.126756, -1.43412, -5.69547e-06, -1.58137, 0.513809, -0.00132645, 0.00044215, 0.206644, -0.262266, 0.116475, -0.129152, -0, 0.0151879, -0.0417668, -0.0143864, -0.00725271, -0.754701, 1.26605, -0.125874, -1.43485, -3.22217e-06, -1.58082, 0.51135, 7.47432e-05, 4.92701e-05, 0.206773, -0.252577, 0.113751, -0.132113, -1.66538e-07, 0.018356, -0.0458039, 
250.63, -0.014332, -0.00722462, -0.734114, 1.24307, -0.11516, -1.44701, 2.84774e-06, -1.57957, 0.509585, -0.000331613, 0.000773763, 0.207104, -0.261474, 0.106174, -0.126775, -0, 0.0151879, -0.0436653, -0.0143786, -0.00724775, -0.734024, 1.24058, -0.114652, -1.44781, -3.22838e-06, -1.57909, 0.506555, 8.00831e-05, 4.99234e-05, 0.206769, -0.256879, 0.110667, -0.126945, -4.17056e-08, 0.016272, -0.0501093, 
250.73, -0.0144358, -0.00726718, -0.713388, 1.21716, -0.104499, -1.45963, 2.84774e-06, -1.57796, 0.504747, 0.000221075, 0.0035372, 0.2091, -0.265436, 0.106174, -0.125191, -0, 0.0142387, -0.0522085, -0.0143703, -0.00724273, -0.713347, 1.21467, -0.103745, -1.46024, -3.22205e-06, -1.57757, 0.501324, 8.55808e-05, 5.05472e-05, 0.206765, -0.261302, 0.10746, -0.121769, 8.42034e-08, 0.0143015, -0.054536, 
250.83, -0.0143299, -0.0072139, -0.692607, 1.19087, -0.0936275, -1.47143, 4.74623e-06, -1.57674, 0.499409, 0.000773763, 0.000331613, 0.207104, -0.26702, 0.103797, -0.113305, -0, 0.0142387, -0.0560055, -0.0143615, -0.00723765, -0.692671, 1.18832, -0.0931646, -1.47216, -3.20309e-06, -1.57623, 0.495644, 9.12034e-05, 5.10957e-05, 0.206762, -0.265843, 0.104125, -0.11658, 2.1105e-07, 0.0124471, -0.0590805, 
250.93, -0.0143703, -0.00720948, -0.671598, 1.16364, -0.0833357, -1.48304, -2.27819e-05, -1.57558, 0.493592, -0.000663225, -0.00044215, 0.210328, -0.278113, 0.107759, -0.110928, -0, 0.0104417, -0.057904, -0.0143521, -0.00723252, -0.671995, 1.1615, -0.0829244, -1.48356, -3.17144e-06, -1.57507, 0.489504, 9.69103e-05, 5.1484e-05, 0.206758, -0.270496, 0.100656, -0.111375, 3.38587e-07, 0.0107114, -0.0637378, 
251.03, -0.0143078, -0.00718538, -0.651235, 1.13678, -0.0735938, -1.49382, -2.84774e-06, -1.57461, 0.487341, 0.00165806, 0.00143699, 0.204034, -0.279698, 0.0974585, -0.106967, 0.00474623, 0.00854321, -0.0645487, -0.0143421, -0.00722736, -0.651319, 1.13421, -0.0730381, -1.49443, -3.12706e-06, -1.57408, 0.482893, 0.000102652, 5.16389e-05, 0.206754, -0.275256, 0.0970472, -0.106152, 4.66449e-07, 0.00909659, -0.0685014, 
251.13, -0.0143514, -0.00718615, -0.630287, 1.10858, -0.0639304, -1.50435, -1.13909e-05, -1.57372, 0.480372, -0.000994838, -0.000773763, 0.205262, -0.282867, 0.106174, -0.0982508, -0.00379698, 0.00759396, -0.0702442, -0.0143316, -0.0072222, -0.630644, 1.10645, -0.0635198, -1.50479, -3.06996e-06, -1.57325, 0.4758, 0.000108374, 5.15114e-05, 0.20675, -0.280114, 0.0932946, -0.100908, 5.94151e-07, 0.00760482, -0.0733636, 
251.23, -0.0142635, -0.00721103, -0.609892, 1.08074, -0.0547035, -1.51414, -1.89849e-06, -1.57301, 0.473104, -0.00110538, -0.00110538, 0.203266, -0.286037, 0.0855733, -0.10142, -0, 0.00949246, -0.0749904, -0.0143205, -0.00721707, -0.609969, 1.07819, -0.0543841, -1.51462, -3.0002e-06, -1.57256, 0.468217, 0.000114014, 5.10664e-05, 0.206746, -0.285061, 0.0893948, -0.095642, 7.21102e-07, 0.00623772, -0.0783152, 
251.33, -0.0141678, -0.00717411, -0.589069, 1.0517, -0.045731, -1.52383, -3.03759e-05, -1.57239, 0.465327, 0.0171333, 0.000773763, 0.208025, -0.272567, 0.125191, -0.133906, 0.00284774, 0.00569547, -0.057904, -0.014101, -0.00721256, -0.589295, 1.04968, -0.0451281, -1.52446, -2.93959e-06, -1.57197, 0.460385, 0.0208141, -3.45175e-05, 0.206801, -0.26515, 0.136932, -0.144875, -1.61725e-06, 0.00794048, -0.0583491, 
251.43, -0.00762178, -0.00726187, -0.568627, 1.02972, -0.0225842, -1.54864, 1.32894e-05, -1.57143, 0.464068, 0.101252, -0.000221075, 0.207872, -0.175901, 0.325654, -0.343086, -0, 0.0151879, 0.0246804, -0.00754236, -0.00730078, -0.568557, 1.0285, -0.0204054, -1.55023, -4.01713e-06, -1.57092, 0.459941, 0.102394, -0.00194058, 0.208097, -0.166395, 0.338257, -0.347141, -1.98842e-05, 0.00899285, 0.0417, 
251.53, 0.00441487, -0.00756253, -0.547839, 1.01523, 0.0154801, -1.58682, -3.98683e-05, -1.57098, 0.469014, 0.130766, -0.00143699, 0.212631, -0.135491, 0.423112, -0.404889, -0, -0.00284774, 0.0645487, 0.00457826, -0.00757118, -0.547693, 1.01446, 0.0181269, -1.58882, -6.59091e-06, -1.57085, 0.466765, 0.131857, -0.00308592, 0.208954, -0.124123, 0.412242, -0.402651, -3.01834e-05, -0.0094345, 0.0848277, 
251.63, 0.0175492, -0.00778715, -0.52687, 1.00229, 0.0571883, -1.62627, 2.84774e-06, -1.57199, 0.475901, 0.125571, -0.00331613, 0.205109, -0.12836, 0.400927, -0.366856, -0.00379698, -0.0161372, 0.0654979, 0.0176443, -0.00783742, -0.526816, 1.00208, 0.0590728, -1.62773, -9.66727e-06, -1.57286, 0.475265, 0.125971, -0.00192771, 0.208368, -0.128907, 0.397691, -0.367519, -3.01256e-05, -0.0300385, 0.0794587, 
251.73, 0.0293117, -0.00799186, -0.506385, 0.988818, 0.0949222, -1.66018, 5.69547e-06, -1.5746, 0.481451, 0.110648, -0.00187914, 0.205876, -0.144207, 0.358932, -0.311392, -0, -0.0322743, 0.0446145, 0.0294863, -0.00792916, -0.50604, 0.988112, 0.0968908, -1.66177, -1.23244e-05, -1.57664, 0.48207, 0.11102, 5.8872e-05, 0.207168, -0.150958, 0.358827, -0.314207, -2.27442e-05, -0.0445329, 0.056208, 
251.83, 0.0398784, -0.00790432, -0.485792, 0.972994, 0.129394, -1.68971, -4.36653e-05, -1.57878, 0.485017, 0.100258, 0.00187914, 0.204034, -0.164016, 0.339124, -0.273359, -0.00284774, -0.0408176, 0.0303759, 0.0400422, -0.0078559, -0.485367, 0.972116, 0.131309, -1.69115, -1.41592e-05, -1.58167, 0.486748, 0.101446, 0.00119004, 0.206421, -0.166889, 0.332986, -0.276935, -1.47394e-05, -0.0560012, 0.0395298, 
251.93, 0.0500295, -0.00784352, -0.464999, 0.955947, 0.162674, -1.71674, -1.61372e-05, -1.58429, 0.48782, 0.0988205, 0.00044215, 0.201731, -0.171147, 0.331993, -0.264643, 0.00379698, -0.0635995, 0.0284774, 0.0500271, -0.007733, -0.464729, 0.955167, 0.164152, -1.71777, -1.53555e-05, -1.58788, 0.490436, 0.0992453, 0.00110042, 0.206439, -0.17021, 0.326574, -0.257954, -1.02014e-05, -0.0685891, 0.0362268, 
252.03, 0.0600274, -0.00771021, -0.444337, 0.939159, 0.19543, -1.74207, -2.94266e-05, -1.5911, 0.490897, 0.100921, 0.00408989, 0.208025, -0.166393, 0.33437, -0.244835, -0.00284774, -0.0730919, 0.0341728, 0.0600184, -0.0076559, -0.444065, 0.93834, 0.196982, -1.74302, -1.62679e-05, -1.59546, 0.494273, 0.100877, 0.000409079, 0.206879, -0.165594, 0.330941, -0.247646, -8.78098e-06, -0.0832714, 0.0412837, 
252.13, 0.0701965, -0.0077311, -0.423807, 0.922868, 0.228539, -1.76622, -2.46804e-05, -1.59969, 0.494677, 0.101252, 0.000221075, 0.205723, -0.159261, 0.335162, -0.240873, -0, -0.0987215, 0.042716, 0.0702129, -0.00764719, -0.423355, 0.922093, 0.230385, -1.76732, -1.71152e-05, -1.60457, 0.498736, 0.102897, -0.000178534, 0.207291, -0.159504, 0.336855, -0.237903, -8.60323e-06, -0.0989308, 0.0477843, 
252.23, 0.0805762, -0.00777444, -0.403033, 0.90719, 0.262281, -1.78949, -2.84774e-06, -1.61022, 0.499062, 0.101252, 0.0008843, 0.207872, -0.161638, 0.336747, -0.224234, -0, -0.112011, 0.042716, 0.0805615, -0.0076781, -0.402615, 0.906371, 0.26426, -1.79052, -1.79439e-05, -1.61524, 0.503754, 0.103882, -0.000374466, 0.207465, -0.155346, 0.340119, -0.225791, -8.25952e-06, -0.114312, 0.0521162, 
252.33, 0.0909674, -0.00771231, -0.382265, 0.891625, 0.296554, -1.81147, -1.51879e-05, -1.62201, 0.503839, 0.101031, -0.00044215, 0.2091, -0.148169, 0.341501, -0.215518, -0, -0.130047, 0.046513, 0.0909575, -0.00771222, -0.381868, 0.890953, 0.29832, -1.81241, -1.8706e-05, -1.62741, 0.509083, 0.103929, -0.000278306, 0.207451, -0.153249, 0.340757, -0.211785, -7.26751e-06, -0.12896, 0.0541988, 
252.43, 0.0997747, -0.00775863, -0.364701, 0.877962, 0.326727, -1.82935, -6.64472e-06, -1.63354, 0.508206, 0.0463152, 0.000331613, 0.098102, -0.0879503, 0.172731, -0.0950815, -0, -0.0683457, 0.0227819, 0.099688, -0.00771825, -0.364482, 0.87818, 0.32695, -1.8297, -1.89679e-05, -1.63875, 0.513695, 0.0472557, 0.000513319, 0.0917998, -0.0664704, 0.154375, -0.0904786, 9.1913e-06, -0.0639415, 0.0253294, 
252.53, 0.100877, -0.00757204, -0.362725, 0.875008, 0.332002, -1.83227, -1.42387e-05, -1.63566, 0.50905, -0.0154753, 0.00132645, -0.0368458, 0.00396173, -0.0324862, 0.0103005, -0, 0.00474623, -0, 0.100765, -0.00759644, -0.362874, 0.877134, 0.33032, -1.83166, -1.65634e-05, -1.64016, 0.514257, -0.0166577, 0.00160357, -0.0401955, 0.030875, -0.0568891, 0.0331266, 3.56409e-05, 0.0235865, -0.00931479, 
252.63, 0.0982724, -0.00744879, -0.368503, 0.877068, 0.324832, -1.8287, -4.74623e-06, -1.63353, 0.508575, -0.0315032, 0.000552688, -0.0637126, 0.0364479, -0.0934968, 0.0483331, -0, 0.0246804, -0.00664472, 0.0980657, -0.00745865, -0.368847, 0.881619, 0.321264, -1.82634, -1.26309e-05, -1.63645, 0.51277, -0.0304867, 0.000993039, -0.0649514, 0.0483145, -0.101522, 0.0602371, 3.95923e-05, 0.0410881, -0.0166306, 
252.73, 0.0956982, -0.00740856, -0.373753, 0.880594, 0.316151, -1.82425, 5.69547e-06, -1.63147, 0.508143, -0.0173544, 0.000110538, -0.0351571, 0.0277321, -0.0657647, 0.0309015, -0, 0.0132894, -0, 0.0955521, -0.00740115, -0.374097, 0.88551, 0.312924, -1.82135, -9.12777e-06, -1.63312, 0.511412, -0.01772, 0.000223238, -0.0362476, 0.0267775, -0.0585793, 0.0353639, 2.9411e-05, 0.0230672, -0.00946575, 
252.83, 0.0946566, -0.00737528, -0.375634, 0.882381, 0.312324, -1.82234, 9.49246e-07, -1.63103, 0.508159, -0.00574795, 0.00331613, -0.000614097, 0.0087158, -0.0166393, 0.00554642, -0, -0, 0.00284774, 0.0945818, -0.00739857, -0.376044, 0.886943, 0.309724, -1.81941, -6.79514e-06, -1.63187, 0.510899, -0.00261429, -0.000105944, -0.00480386, 0.00347294, -0.0085438, 0.00519861, 1.7767e-05, 0.00325411, -0.00132832, 
252.93, 0.0946718, -0.00736976, -0.375161, 0.882758, 0.311996, -1.82224, 9.49246e-07, -1.63118, 0.508327, 0.00486365, 0.00044215, 0.0104397, -0, 0.00475407, 0, -0, -0.00569547, 0.00379698, 0.0947492, -0.00741295, -0.375654, 0.886647, 0.310284, -1.81975, -5.41954e-06, -1.6321, 0.510993, 0.00447909, -0.000150972, 0.00952635, -0.00711208, 0.0148221, -0.00898698, 1.06009e-05, -0.00589001, 0.00241582, 
253.03, 0.0951136, -0.00735848, -0.374203, 0.882738, 0.312889, -1.82237, -0, -1.63149, 0.508534, 0.00397935, 0.000221075, 0.00829031, -0, 0.0134699, 0, -0, -0.00379698, 0.00284774, 0.0952373, -0.00742501, -0.374632, 0.885887, 0.311895, -1.82073, -4.52643e-06, -1.63274, 0.511254, 0.00446884, -8.15782e-05, 0.00923756, -0.00686398, 0.0147202, -0.0088973, 7.78795e-06, -0.00586314, 0.00237473, 
253.13, 0.0938545, -0.00735782, -0.376766, 0.883511, 0.31063, -1.82038, -4.74623e-06, -1.63036, 0.508254, -0.0531685, 0.00254236, -0.107621, 0.0467484, -0.129945, 0.089535, -0, 0.05031, -0.0170864, 0.0938461, -0.00743111, -0.377391, 0.887928, 0.307332, -1.81795, -3.5389e-06, -1.63095, 0.510536, -0.0557836, -0.000144969, -0.110937, 0.0821518, -0.18294, 0.111666, 1.83146e-05, 0.071176, -0.028782, 
253.23, 0.0847624, -0.00716062, -0.394892, 0.895445, 0.281776, -1.80225, -2.75281e-05, -1.61998, 0.504704, -0.126897, -0.00729548, -0.240112, 0.164016, -0.389042, 0.257512, -0.00854321, 0.136691, -0.046513, 0.0844847, -0.00750704, -0.395785, 0.901604, 0.276725, -1.79869, -5.01561e-07, -1.61963, 0.50582, -0.122092, -0.00155413, -0.237533, 0.177497, -0.398122, 0.258129, 3.99735e-05, 0.139769, -0.06003, 
253.33, 0.0715967, -0.00738125, -0.420457, 0.914239, 0.239144, -1.77382, 1.04417e-05, -1.60658, 0.499474, -0.136182, 0, -0.263448, 0.198879, -0.444506, 0.295545, 0.00569547, 0.119605, -0.0550562, 0.0712163, -0.00771855, -0.421442, 0.920943, 0.233558, -1.76954, 3.73662e-06, -1.60563, 0.499501, -0.136067, -0.00232498, -0.262729, 0.199792, -0.442083, 0.310476, 4.24093e-05, 0.13137, -0.0629324, 
253.43, 0.0585167, -0.00765307, -0.446159, 0.933939, 0.196369, -1.7431, 6.64472e-06, -1.59562, 0.494496, -0.124134, -0.00342666, -0.241801, 0.186201, -0.401719, 0.310599, -0, 0.0958738, -0.0455638, 0.0582018, -0.00789893, -0.446764, 0.94036, 0.19124, -1.73869, 7.5206e-06, -1.59418, 0.493597, -0.122064, -0.00103074, -0.240313, 0.185691, -0.397652, 0.300463, 3.25771e-05, 0.0970094, -0.0546195, 
253.53, 0.0470054, -0.0077971, -0.469184, 0.952047, 0.158822, -1.71398, 6.64472e-06, -1.58761, 0.490209, -0.106669, -0.00121591, -0.216316, 0.178278, -0.349424, 0.275736, -0, 0.0664472, -0.0379698, 0.0468603, -0.00791204, -0.469424, 0.957961, 0.15418, -1.70982, 1.01264e-05, -1.58601, 0.488538, -0.10579, 0.00066387, -0.214449, 0.167301, -0.346795, 0.278324, 2.02274e-05, 0.0683536, -0.0471469, 
253.63, 0.0367029, -0.00774934, -0.490329, 0.968649, 0.124973, -1.68624, 3.79698e-06, -1.58164, 0.486252, -0.0968309, 0.000221075, -0.204187, 0.160054, -0.324862, 0.268605, 0.00284774, 0.0569547, -0.0398683, 0.0367379, -0.00780448, -0.490109, 0.974143, 0.120927, -1.68243, 1.16519e-05, -1.58016, 0.484035, -0.098272, 0.00126935, -0.201648, 0.158124, -0.323292, 0.273154, 1.14557e-05, 0.0500604, -0.043523, 
253.73, 0.0269207, -0.00767993, -0.510421, 0.984374, 0.0930142, -1.65861, 4.74623e-06, -1.57734, 0.482416, -0.0990416, -0.00044215, -0.202345, 0.161638, -0.326446, 0.292375, -0, 0.0370206, -0.0370206, 0.0269441, -0.00769373, -0.510142, 0.989884, 0.08871, -1.65455, 1.25277e-05, -1.57583, 0.479743, -0.0984907, 0.000831274, -0.200365, 0.157762, -0.323814, 0.286933, 6.991e-06, 0.0368205, -0.0426028, 
253.83, 0.0168589, -0.00777466, -0.530846, 1.00041, 0.0602175, -1.62881, -3.79698e-06, -1.57432, 0.478627, -0.101805, -0.000994838, -0.204955, 0.164808, -0.339124, 0.311392, -0.00379698, 0.0246804, -0.0370206, 0.0169486, -0.00764712, -0.530334, 1.00582, 0.0558703, -1.62476, 1.30935e-05, -1.57279, 0.475483, -0.10151, 0.000116597, -0.203711, 0.161064, -0.333347, 0.309416, 4.87912e-06, 0.0238757, -0.0426469, 
253.93, 0.0064943, -0.00784772, -0.551541, 1.01673, 0.0264944, -1.59667, -1.13909e-05, -1.5726, 0.474724, -0.104237, -0.00232129, -0.208947, 0.167977, -0.34784, 0.338332, -0, 0.0132894, -0.0379698, 0.00666871, -0.00766004, -0.55087, 1.02208, 0.022103, -1.59268, 1.34868e-05, -1.5711, 0.471215, -0.103826, -0.000304838, -0.206753, 0.164075, -0.341299, 0.331603, 3.32295e-06, 0.00964608, -0.0426767, 
254.03, -0.00407054, -0.00797893, -0.572525, 1.03352, -0.00835449, -1.56226, 1.32894e-05, -1.57219, 0.470725, -0.106337, -0.000663225, -0.211249, 0.16877, -0.345463, 0.34784, -0, -0, -0.0408176, -0.00376087, -0.00769472, -0.571621, 1.03858, -0.0122385, -1.55856, 1.37172e-05, -1.57089, 0.466957, -0.104523, -0.000335408, -0.207975, 0.165514, -0.344876, 0.350304, 1.56862e-06, -0.00547186, -0.0424593, 
254.13, -0.0145239, -0.00801496, -0.593259, 1.05007, -0.0429324, -1.52642, 9.49246e-07, -1.57262, 0.466781, -0.10479, 0.00132645, -0.206951, 0.174316, -0.349424, 0.370818, -0, -0.00664472, -0.0379698, -0.0142019, -0.00772051, -0.592421, 1.05515, -0.0467838, -1.5227, 1.37621e-05, -1.5722, 0.462729, -0.104204, -0.000167553, -0.207878, 0.165792, -0.345818, 0.366611, -3.63526e-07, -0.0208307, -0.0420849, 
254.23, -0.0247599, -0.00806537, -0.613716, 1.06662, -0.077325, -1.48922, -4.2716e-05, -1.57425, 0.462946, -0.103684, 0.0008843, -0.201117, 0.164808, -0.34467, 0.388249, -0, -0.0180357, -0.0408176, -0.0245958, -0.00772879, -0.613184, 1.07172, -0.0813977, -1.48524, 1.36171e-05, -1.57505, 0.458541, -0.103693, -1.18199e-05, -0.207374, 0.165693, -0.346588, 0.382819, -2.20592e-06, -0.0362615, -0.0416795, 
254.33, -0.0350191, -0.00806692, -0.634254, 1.08335, -0.112256, -1.45021, -1.23402e-05, -1.57777, 0.45888, -0.103353, -0.00187914, -0.204955, 0.1656, -0.348632, 0.400927, -0, -0.0417668, -0.0379698, -0.0349488, -0.0077264, -0.633901, 1.08829, -0.116142, -1.44609, 1.33015e-05, -1.57946, 0.454391, -0.103419, 4.21588e-05, -0.207005, 0.165688, -0.348545, 0.400474, -3.78109e-06, -0.0519547, -0.0413155, 
254.43, -0.0453995, -0.00796843, -0.65488, 1.1003, -0.14773, -1.40875, 1.42387e-05, -1.58294, 0.454644, -0.100368, 0.00110538, -0.204187, 0.167185, -0.352594, 0.417566, -0, -0.0560055, -0.0417668, -0.0452885, -0.00772313, -0.654593, 1.10487, -0.151154, -1.40508, 1.2844e-05, -1.58546, 0.450275, -0.103409, 1.40844e-05, -0.206885, 0.165868, -0.351902, 0.420035, -5.0706e-06, -0.0681541, -0.0410163, 
254.53, -0.0556764, -0.00791559, -0.675312, 1.11695, -0.183151, -1.36568, -0, -1.58977, 0.450461, -0.101031, -0.0017686, -0.204801, 0.162431, -0.358932, 0.447675, -0, -0.0749904, -0.0379698, -0.0556346, -0.00772441, -0.675283, 1.12147, -0.18656, -1.36202, 1.22701e-05, -1.59311, 0.446186, -0.103522, -3.97598e-05, -0.206916, 0.166136, -0.356384, 0.44139, -6.14469e-06, -0.0850238, -0.0407782, 
254.63, -0.0659001, -0.00783877, -0.695585, 1.13356, -0.218801, -1.32084, -2.84774e-06, -1.59849, 0.446521, -0.102247, 0.00143699, -0.208333, 0.169562, -0.356555, 0.465899, -0.00569547, -0.0977723, -0.0389191, -0.0659928, -0.00773063, -0.695977, 1.13809, -0.22246, -1.31674, 1.15972e-05, -1.60249, 0.442118, -0.103635, -8.11826e-05, -0.206979, 0.16639, -0.361774, 0.464445, -7.08583e-06, -0.102686, -0.0405873, 
254.73, -0.0761757, -0.00770502, -0.716044, 1.15028, -0.255145, -1.27317, 2.84774e-06, -1.60952, 0.442436, -0.101916, -0.000221075, -0.207872, 0.171147, -0.373195, 0.499178, -0, -0.110112, -0.0408176, -0.0763602, -0.00773998, -0.716678, 1.15474, -0.258946, -1.26907, 1.08352e-05, -1.61368, 0.438068, -0.103707, -0.000103218, -0.207017, 0.166587, -0.368106, 0.489402, -7.95704e-06, -0.121309, -0.0404288, 
254.83, -0.0865087, -0.00762687, -0.736531, 1.16691, -0.292421, -1.22296, 1.89849e-06, -1.62216, 0.438305, -0.10291, 0.000110538, -0.209254, 0.169562, -0.381118, 0.514232, 0.00284774, -0.135742, -0.0408176, -0.0867332, -0.00775101, -0.73738, 1.17141, -0.296121, -1.21878, 9.98888e-06, -1.6268, 0.434032, -0.103752, -0.000117298, -0.207026, 0.166732, -0.375636, 0.516786, -8.80567e-06, -0.141161, -0.0402921, 
254.93, -0.0967747, -0.00757094, -0.757067, 1.1839, -0.330421, -1.16984, 3.89191e-05, -1.63715, 0.434213, -0.103574, 0.00298451, -0.204648, 0.167185, -0.389042, 0.538795, -0, -0.162321, -0.0379698, -0.0971108, -0.00776364, -0.758082, 1.18809, -0.334125, -1.16561, 9.05815e-06, -1.64197, 0.430009, -0.103803, -0.000137144, -0.207022, 0.16685, -0.384745, 0.547375, -9.67977e-06, -0.162639, -0.0401717, 
255.03, -0.107157, -0.00751832, -0.777804, 1.20055, -0.369559, -1.11338, 1.99342e-05, -1.65431, 0.430271, -0.106669, -0.000110538, -0.207104, 0.173524, -0.400134, 0.581582, 0.00284774, -0.179407, -0.0389191, -0.107495, -0.00777891, -0.778784, 1.20478, -0.373138, -1.10917, 8.03762e-06, -1.65939, 0.425997, -0.103883, -0.000171167, -0.207023, 0.166957, -0.395909, 0.582192, -1.06435e-05, -0.186291, -0.0400655, 
255.13, -0.117517, -0.00747687, -0.798531, 1.21755, -0.409681, -1.05323, -1.99342e-05, -1.67414, 0.426213, -0.104016, 0.00187914, -0.208333, 0.175108, -0.409643, 0.629122, -0, -0.209783, -0.0417668, -0.117889, -0.00779848, -0.799487, 1.22148, -0.413396, -1.04898, 6.9141e-06, -1.67932, 0.421995, -0.104008, -0.000223521, -0.207036, 0.167063, -0.409747, 0.622624, -1.17913e-05, -0.212883, -0.0399729, 
255.23, -0.125879, -0.00742901, -0.815237, 1.23187, -0.444502, -1.00127, -1.89849e-06, -1.69209, 0.422739, -0.0369195, 0.00154753, -0.0841313, 0.0966661, -0.191748, 0.254343, 0.00284774, -0.0939753, -0.0199342, -0.126055, -0.00779648, -0.815813, 1.23465, -0.446101, -0.998636, 6.51485e-06, -1.69697, 0.418839, -0.0378499, 0.000812696, -0.078646, 0.0632136, -0.155727, 0.242805, 1.93061e-06, -0.0870478, -0.0154324, 
255.33, -0.126165, -0.00729437, -0.816547, 1.23485, -0.448416, -0.996674, -9.49246e-06, -1.69394, 0.422006, 0.0217759, 0.000331613, 0.0376135, -0.00713111, 0.0649723, -0.107759, -0, 0.0351221, -0, -0.12628, -0.00763101, -0.816881, 1.23546, -0.447365, -0.996665, 5.90221e-06, -1.69766, 0.418586, 0.0234105, 0.00204605, 0.0390984, -0.0321015, 0.091067, -0.142134, -1.20404e-05, 0.0512852, 0.00699119, 
255.43, -0.123117, -0.00713199, -0.81118, 1.23264, -0.437704, -1.01388, 7.59396e-06, -1.68902, 0.422081, 0.0316137, 0.00154753, 0.0574181, -0.0372402, 0.125983, -0.186994, -0, 0.0493608, -0, -0.123172, -0.00746271, -0.811303, 1.23092, -0.435127, -1.01567, 4.68844e-06, -1.69086, 0.419618, 0.0320369, 0.00115899, 0.0596579, -0.0484287, 0.126657, -0.195803, -1.0877e-05, 0.0693752, 0.0112234, 
255.53, -0.120662, -0.00711221, -0.806621, 1.22905, -0.426945, -1.02865, -1.61372e-05, -1.68496, 0.422091, 0.0160279, -0.000331613, 0.028402, -0.0269397, 0.0752728, -0.0958738, -0, 0.0275281, -0, -0.120663, -0.00739733, -0.806537, 1.22706, -0.425199, -1.03096, 3.75312e-06, -1.68548, 0.420523, 0.0166236, 0.000243238, 0.0322916, -0.0260985, 0.0659234, -0.101122, -8.16706e-06, 0.0353626, 0.00618913, 
255.63, -0.119922, -0.00725933, -0.805192, 1.22721, -0.423058, -1.0343, -9.49246e-06, -1.68374, 0.422022, 0.00132645, -0.0008843, 0.00245639, -0.00713111, 0.0134699, -0.0134699, -0, 0.00379698, -0, -0.119822, -0.00739508, -0.804865, 1.22571, -0.42184, -1.03611, 3.01561e-06, -1.68368, 0.420847, 0.0014045, -0.000123645, 0.00325625, -0.00258174, 0.00594429, -0.00909702, -6.61864e-06, 0.0032537, 0.000671954, 
255.73, -0.120164, -0.00738192, -0.805786, 1.22694, -0.423083, -1.03401, -5.69547e-06, -1.68393, 0.421817, -0.00541634, -0.00165806, -0.0112073, -0, -0.00713111, 0.0150546, -0, -0.00379698, -0.00284774, -0.120077, -0.00741164, -0.805314, 1.22608, -0.422811, -1.03462, 2.4305e-06, -1.68419, 0.420765, -0.00499676, -0.000173246, -0.00934288, 0.00758925, -0.0194481, 0.0297718, -5.10573e-06, -0.0102613, -0.00175528, 
255.83, -0.120515, -0.00755668, -0.807267, 1.22721, -0.42425, -1.03234, -1.42387e-05, -1.68432, 0.421605, 0.0142593, -0.00497419, -0.0480531, 0.0309015, -0, -0.00554642, -0, 0.00474623, 0.00569547, -0.120334, -0.00742537, -0.806783, 1.22765, -0.424442, -1.03213, 1.98569e-06, -1.68505, 0.42087, 0.0183517, -7.88243e-05, -0.0540743, 0.078518, 0.0154851, -0.0237398, -3.71436e-06, 0.00830723, 0.0244423, 
255.93, -0.114199, -0.00762267, -0.821176, 1.24448, -0.418196, -1.04312, -9.49246e-07, -1.68084, 0.427284, 0.0977152, 0.00110538, -0.205416, 0.289206, 0.130737, -0.195709, -0, 0.0645487, 0.0977723, -0.113882, -0.00738921, -0.8209, 1.24931, -0.415983, -1.04505, 1.47023e-06, -1.68058, 0.428411, 0.102693, 0.00110064, -0.212271, 0.328906, 0.141086, -0.214833, -6.66357e-06, 0.0738602, 0.116632, 
